,Road_55dB,Road_60dB,Railways_65dB,Industry_65dB
1,166400,79200,1100,0
2,20000,11000,0,0
3,37800,18000,0,0
4,24500,16700,0,100
5,103100,33500,1900,200
6,36800,16100,0,100
7,39700,16800,0,300
8,388000,185200,300,1300
9,15000,9400,300,200
10,18600,12000,0,100
11,57900,23300,700,0
12,92700,33600,0,100
13,192900,86000,100,900
14,12700,9800,0,0
15,823200,371700,300,800
16,75200,25400,300,0
17,42300,17400,100,0
18,140900,66200,100,300
19,38000,13400,100,300
20,14100,10000,0,300
21,64800,36400,0,400
22,10500,6300,100,0
23,17700,9000,0,0
24,8600,5800,100,0
25,17700,5800,0,0
26,32400,19700,300,400
27,156000,67300,300,200
28,27000,18200,0,0
29,689300,309300,1600,600
30,7600,4000,800,0
31,77400,26100,200,0
32,102800,41600,1000,400
33,21500,10300,400,0
34,21300,6600,200,0
35,50000,22700,0,0
36,12700,9000,400,0
37,23900,15300,400,0
38,31600,10700,200,100
39,16900,11400,500,0
40,27800,17300,100,0
41,47500,17400,1800,0
42,37300,14400,600,0
43,15000,9600,0,0
44,26400,14200,200,0
45,152500,69700,200,100
46,23000,9300,400,0
47,117200,48900,600,0
48,45400,21500,0,0
49,2387200,1426100,29700,4000
50,77200,24300,2500,0
51,30500,20500,0,0
52,41700,21300,0,0
53,12800,6000,0,0
54,11600,8300,100,100
55,79400,34800,0,0
56,64300,25100,900,0
57,13800,6400,0,0
58,49700,32900,0,100
59,132400,56100,0,0
60,131200,49400,200,0
61,74400,47000,0,0
62,20700,16200,0,0
63,15100,9900,0,0
64,24500,12400,300,300
65,12800,8500,0,0
66,3108200,1469100,25800,
