rank,country,cases,deaths,recovered,active,critical,cases_1Mpop,deaths_1Mpop,tests,tests_1Mpop,population,continent
1,USA,"1,696,547","99,561","456,595","1,140,391","17,065","5,129",301,"15,029,393","45,433","330,806,424",North America
2,Brazil,"367,906","22,965","149,911","195,030","8,318","1,732",108,"735,224","3,461","212,405,664",South America
3,Russia,"353,427","3,633","118,798","230,996","2,300","2,422",25,"8,945,384","61,300","145,928,315",Europe
4,Spain,"282,852","28,752","196,958","57,142",854,"6,050",615,"3,556,567","76,071","46,752,999",Europe
5,UK,"261,184","36,914",,,"1,559","3,849",544,"3,532,634","52,065","67,850,075",Europe
6,Italy,"230,158","32,877","141,981","55,300",541,"3,806",544,"3,482,253","57,586","60,470,472",Europe
7,France,"182,584","28,432","65,199","88,953","1,609","2,798",436,"1,384,633","21,217","65,259,187",Europe
8,Germany,"180,602","8,395","161,200","11,007",873,"2,156",100,"3,595,059","42,922","83,757,235",Europe
9,Turkey,"157,814","4,369","120,015","33,430",756,"1,873",52,"1,853,754","22,004","84,244,944",Asia
10,India,"144,941","4,172","60,706","80,063","8,944",105,3,"3,033,591","2,200","1,378,604,014",Asia
11,Iran,"137,724","7,451","107,713","22,560","2,585","1,642",89,"818,917","9,763","83,880,266",Asia
12,Peru,"119,959","3,456","49,795","66,708",920,"3,644",105,"820,967","24,936","32,923,430",South America
13,Canada,"85,104","6,453","44,207","34,444",502,"2,257",171,"1,479,838","39,244","37,708,187",North America
14,China,"82,985","4,634","78,268",83,7,58,3,,,"1,439,323,776",Asia
15,Saudi Arabia,"74,795",399,"45,668","28,728",372,"2,152",11,"722,079","20,776","34,756,224",Asia
16,Chile,"73,997",761,"29,302","43,934","1,135","3,874",40,"488,041","25,553","19,099,374",South America
17,Mexico,"68,620","7,394","47,424","13,802",378,533,57,"219,164","1,702","128,792,446",North America
18,Belgium,"57,342","9,312","15,297","32,733",251,"4,950",804,"788,110","68,031","11,584,564",Europe
19,Pakistan,"56,349","1,167","17,482","37,700",111,256,5,"483,656","2,194","220,427,217",Asia
20,Qatar,"45,465",26,"10,363","35,076",202,"15,809",9,"192,484","66,931","2,875,845",Asia
